pair,date,high,low,open,close,volume
USDT_BTC,1618383600,64655,64280,64577.25,64288.8,172885004.5
USDT_BTC,1618387200,64565.54,63368,64288.8,63928.57,252259196.8
USDT_BTC,1618390800,64165,63012.84,63928.58,63568.42,305664986.2
USDT_BTC,1618394400,64151.97,63431.98,63568.41,64099.99,226423837
USDT_BTC,1618398000,64787.98,64084.64,64100,64511.21,231850148.8
USDT_BTC,1618401600,64640.58,63631.58,64509.48,63871.42,247196695.4
USDT_BTC,1618405200,64466.66,63597.23,63871.41,63772.67,229517940.5
USDT_BTC,1618408800,63782.09,62550,63777.69,62996.12,377360664.5
USDT_BTC,1618412400,63383,62345.67,62997.9,63045.02,275520807.4
USDT_BTC,1618416000,63680,62800,63045.03,63484.79,237720872.2
USDT_BTC,1618419600,63764.62,62231.49,63484.79,62250.14,245911612.9
USDT_BTC,1618423200,62697.53,61568,62250.14,62119.26,312476421.8
USDT_BTC,1618426800,62496.45,61301,62119.26,62150.04,292306892.6
USDT_BTC,1618430400,62479.08,61873.51,62150.03,62397.39,123563757.4
USDT_BTC,1618434000,62838.18,62363.5,62397.39,62773.65,133289927.9
USDT_BTC,1618437600,63048.82,62550,62773.65,62842.13,121381080.7
USDT_BTC,1618441200,63062.38,62580.37,62842.13,62959.53,117492375.7
USDT_BTC,1618444800,63491.45,62705,62959.53,62705.01,159969049.3
USDT_BTC,1618448400,63171.87,62610.49,62705,62660.02,124265179.7
USDT_BTC,1618452000,63075,62333.55,62660.01,62821.63,121351576.7
USDT_BTC,1618455600,63243.64,62660.01,62821.64,63056.61,123274545.3
USDT_BTC,1618459200,63460.22,62892.49,63056.62,62950.08,121437791.7
USDT_BTC,1618462800,63288.87,62706.4,62950.11,63109.5,104959742.9
USDT_BTC,1618466400,63299,62721.16,63109.49,62936.19,112363753.2
USDT_BTC,1618470000,63200,62751.36,62936.18,62842.56,123169396
USDT_BTC,1618473600,63137.92,62501.14,62842.56,62615.33,135493449.8
USDT_BTC,1618477200,62829.36,62492.46,62615.32,62615.42,122736128.3
USDT_BTC,1618480800,62732.78,62151,62615.41,62154.24,137846024.6
USDT_BTC,1618484400,62480.35,62020,62159.57,62361.12,136458568.7
USDT_BTC,1618488000,62737.76,62347.36,62359.11,62635.71,109353392.1
USDT_BTC,1618491600,63074.05,62604.12,62637.79,62918.66,151220649
USDT_BTC,1618495200,62993.53,62544.78,62918.66,62627.28,137248900.4
USDT_BTC,1618498800,62763.24,62384.79,62627.28,62715.18,136049784.3
USDT_BTC,1618502400,62980,62470.37,62715.17,62665.57,164296913.1
USDT_BTC,1618506000,62717.82,62308,62665.57,62581.43,107012916
USDT_BTC,1618509600,62840.36,62500.41,62581.42,62733.84,107189378.5
USDT_BTC,1618513200,63573.02,62726.02,62733.84,63363.29,255772696.9
USDT_BTC,1618516800,63592.24,63181.37,63363.29,63350.89,193222991.9
USDT_BTC,1618520400,63800,63226.72,63350.88,63369.5,129312102.4
USDT_BTC,1618524000,63518.22,63179.2,63369.51,63252.27,130107240.8
USDT_BTC,1618527600,63339.99,62963.78,63252.27,63159.98,104819566.5
USDT_BTC,1618531200,63520.61,63035.71,63158.74,63360,190504337.3
USDT_BTC,1618534800,63472.41,62684.01,63360,63015.01,253620894.6
USDT_BTC,1618538400,63211.7,62727.62,63015.01,62830.43,209402246.7
USDT_BTC,1618542000,63200,62716.8,62830.42,62937.91,178498754.4
USDT_BTC,1618545600,62961.81,61500,62942.41,61658.05,331435384.8
USDT_BTC,1618549200,62187.64,61415.4,61658.05,61799.59,305664758.7
USDT_BTC,1618552800,61804.04,61057.5,61804.04,61455.69,326865736.2
