pair,date,high,low,open,close,volume
USDT_BTC,1607572800,18493.28,18389,18409.78,18418.15,27528502.21
USDT_BTC,1607576400,18420.8,18305.4,18418.15,18372.37,28869311.53
USDT_BTC,1607580000,18435.74,18278.44,18372.36,18298.22,37885683.71
USDT_BTC,1607583600,18386.16,18287.78,18298.23,18335.91,22481483.82
USDT_BTC,1607587200,18471.18,18319.74,18335.91,18433.3,35334957.48
USDT_BTC,1607590800,18480,18224.01,18433.31,18237.52,53595891.65
USDT_BTC,1607594400,18281.01,18070,18237.51,18145,59243010.77
USDT_BTC,1607598000,18254.48,18117.32,18145,18192.49,44515334.61
USDT_BTC,1607601600,18290.63,18165.89,18192.5,18209.96,32515320.72
USDT_BTC,1607605200,18246.8,18045.31,18209.72,18233.65,67166588.86
USDT_BTC,1607608800,18252.55,18040.01,18233.65,18079.99,55105270.79
USDT_BTC,1607612400,18151,17911.12,18080,18134.08,86111223.96
USDT_BTC,1607616000,18225.31,18096.42,18132.11,18176.99,51529050.24
USDT_BTC,1607619600,18217.95,18076.07,18176.99,18213.86,33088171.07
USDT_BTC,1607623200,18316.76,18195.01,18213.87,18274.75,42506248.76
USDT_BTC,1607626800,18403.28,18225.31,18274.74,18403.1,44650435.56
USDT_BTC,1607630400,18435.74,18342.56,18403.11,18365.78,44171460.14
USDT_BTC,1607634000,18405.62,18305.74,18365.79,18349,25819451.18
USDT_BTC,1607637600,18397.77,18297.76,18348.99,18326.36,18487455.96
USDT_BTC,1607641200,18380.41,18220,18326.36,18254.63,26759875.41
USDT_BTC,1607644800,18292.73,17950,18254.81,18018.32,69277307.95
USDT_BTC,1607648400,18074.8,17804,18018.31,17901.45,99914282.94
USDT_BTC,1607652000,18040.81,17801.37,17901.44,17804.97,66344001.68
USDT_BTC,1607655600,17996.14,17715.6,17804.97,17990.88,62034423.24
USDT_BTC,1607659200,18048.6,17929.81,17990.69,17959.72,38281486.72
USDT_BTC,1607662800,18021.42,17833.88,17959.73,17899.44,39566413.09
USDT_BTC,1607666400,17968,17814.73,17899.43,17923.6,33002682.36
USDT_BTC,1607670000,17944.87,17700.51,17923.6,17811.95,64968977.41
USDT_BTC,1607673600,18001.15,17810.5,17811.96,17898.79,67987197.49
USDT_BTC,1607677200,17908,17728.25,17899.46,17802.6,46295339.89
USDT_BTC,1607680800,17874.01,17572.33,17802.6,17758.45,88775697.64
USDT_BTC,1607684400,17761.1,17600,17758.46,17647.71,63181227.88
USDT_BTC,1607688000,17916.5,17617,17647.71,17864.73,71630940.2
USDT_BTC,1607691600,17987.98,17827.68,17864.73,17972.01,51946637.5
USDT_BTC,1607695200,18068,17901.07,17972,18058.76,65772843.03
USDT_BTC,1607698800,18132,18028,18058.75,18104.74,57668403.51
USDT_BTC,1607702400,18111.55,17942.85,18104.74,17978.14,44465838.96
USDT_BTC,1607706000,18007,17852,17978.15,17995.53,49724633.95
USDT_BTC,1607709600,18046.83,17943.29,17995.5,18044.26,35487541.9
USDT_BTC,1607713200,18093.95,17959.22,18044.26,17977,37101541.79
USDT_BTC,1607716800,18060,17925.37,17975.08,17982.89,36169523.12
USDT_BTC,1607720400,18125.18,17952.15,17983.47,18100.01,42645696.87
USDT_BTC,1607724000,18184,18067.72,18100.01,18127.81,35865598.65
USDT_BTC,1607727600,18149.75,18012.69,18127.81,18036.53,32973409.54
USDT_BTC,1607731200,18370,18020.7,18036.53,18342.06,83518877.27
USDT_BTC,1607734800,18375,18271.1,18342.05,18283.84,35210286.79
USDT_BTC,1607738400,18350,18278.14,18283.84,18319.99,25103513.95
USDT_BTC,1607742000,18336.82,18268.34,18319.99,18282.02,21559345.2
USDT_BTC,1607745600,18390,18261.32,18282.01,18370.28,27869553.42
USDT_BTC,1607749200,18398.19,18310.01,18370.28,18313.36,29369634.51
USDT_BTC,1607752800,18366.24,18278.91,18313.35,18315.76,24588909.24
USDT_BTC,1607756400,18400,18300.67,18315.76,18380.85,27785295.92
USDT_BTC,1607760000,18450,18318.98,18380.85,18377.64,39587861.42
USDT_BTC,1607763600,18478,18345.14,18377.35,18433.47,36067439
USDT_BTC,1607767200,18459.42,18370,18433.47,18382.1,27288453.66
USDT_BTC,1607770800,18513.66,18366.68,18382.11,18506.1,34939468.43
USDT_BTC,1607774400,18525.33,18427.01,18506.1,18445.15,33837614.63
USDT_BTC,1607778000,18451.35,18388.88,18445.14,18400.21,26575944.52
USDT_BTC,1607781600,18475.63,18308.82,18400.21,18372.97,46678373.33
USDT_BTC,1607785200,18434.62,18317.67,18372.98,18399.01,32835455.25
USDT_BTC,1607788800,18450.46,18362.42,18399.01,18397.88,32300285.13
USDT_BTC,1607792400,18527.93,18374.07,18397.87,18483.17,30293379.93
USDT_BTC,1607796000,18746.33,18482.47,18482.83,18687.62,91723634
USDT_BTC,1607799600,18850,18687.63,18687.63,18805.29,61099760.13
USDT_BTC,1607803200,18840.4,18745.01,18805.29,18770.68,38177013.4
USDT_BTC,1607806800,18840.4,18729.09,18770.67,18787.72,34855681.55
USDT_BTC,1607810400,18948.66,18754.37,18787.72,18870.51,41739813.22
USDT_BTC,1607814000,18880.37,18768.77,18872.07,18808.69,32547242
USDT_BTC,1607817600,18875,18711.12,18808.69,18750,39074643.82
USDT_BTC,1607821200,18808.98,18711.57,18750,18795.31,21444519.94
USDT_BTC,1607824800,18830,18750.02,18795.12,18812.61,28756253.12
USDT_BTC,1607828400,18831.36,18760.77,18812.61,18784.42,17515656.31
USDT_BTC,1607832000,18884.5,18768.19,18784.56,18852.51,23588810.06
USDT_BTC,1607835600,18938.55,18815,18852.51,18850,41496010.02
USDT_BTC,1607839200,18984.55,18844.95,18849.99,18973.93,36506250.34
USDT_BTC,1607842800,19306.27,18973.93,18973.93,19247.68,135268469.4
USDT_BTC,1607846400,19322.24,19179.5,19249.21,19245.91,69681154.85
USDT_BTC,1607850000,19301.14,19185.74,19245.25,19263.25,46164906.47
USDT_BTC,1607853600,19370,19255,19263.26,19278.99,61854943.99
USDT_BTC,1607857200,19349,19200,19278.99,19316.81,43339962.29
USDT_BTC,1607860800,19400,19265.91,19316.8,19348.97,68052068.15
USDT_BTC,1607864400,19411,19290.01,19348.97,19321.13,54575254.92
USDT_BTC,1607868000,19364,19275.41,19321.13,19292.13,32098424.62
USDT_BTC,1607871600,19334.08,19080,19292.13,19211.34,74379774.47
USDT_BTC,1607875200,19385,19208.7,19211.34,19328.12,65743060.9
USDT_BTC,1607878800,19334.85,19197.36,19328.11,19273.6,35345202.04
USDT_BTC,1607882400,19273.6,19172.33,19273.59,19185.33,31438157.19
USDT_BTC,1607886000,19233,19155,19185.33,19193.78,25098223.16
USDT_BTC,1607889600,19193.29,19089.63,19193.28,19154.57,36534026.68
USDT_BTC,1607893200,19225.63,19150,19154.56,19190.01,22141548.64
USDT_BTC,1607896800,19194.33,18971,19190,19112.41,42225204.52
USDT_BTC,1607900400,19225,19090,19112.41,19174.99,31198043.18
USDT_BTC,1607904000,19174.99,19000,19174.99,19057.19,36034622.58
USDT_BTC,1607907600,19112.74,19019.65,19056.23,19085.64,23782999.43
USDT_BTC,1607911200,19307.09,19052.62,19085.64,19297.7,53087642.95
USDT_BTC,1607914800,19347,19227.01,19297.9,19260.68,46541743.79
USDT_BTC,1607918400,19282.11,19055.51,19260.68,19126.94,51189039.77
USDT_BTC,1607922000,19130,19033.84,19126.93,19085.53,29708802.72
USDT_BTC,1607925600,19207.93,19080.4,19085.53,19206.23,33341909.69
USDT_BTC,1607929200,19210,19100.43,19206.24,19155.8,25419485.44
USDT_BTC,1607932800,19244.69,19140,19155.8,19222,39651855.99
USDT_BTC,1607936400,19258.96,19120,19222,19184.61,38099270.66
USDT_BTC,1607940000,19215.19,19052.72,19184.6,19088.94,40218964.14
USDT_BTC,1607943600,19144.14,19051.11,19088.94,19106.44,35606173.21
USDT_BTC,1607947200,19147,19028.97,19106.43,19114.66,40440153.52
USDT_BTC,1607950800,19199.86,19063.31,19114.66,19184.19,42499310.01
USDT_BTC,1607954400,19227.66,19088.88,19184.2,19221.74,46733762.73
USDT_BTC,1607958000,19300,19158.57,19221.75,19200.07,69076198.19
USDT_BTC,1607961600,19237.79,19114.58,19200,19152.37,36339368.46
USDT_BTC,1607965200,19170.51,19113.08,19152.59,19143.09,24045294.1
USDT_BTC,1607968800,19236.76,19143.38,19143.38,19236.75,34874284.35
USDT_BTC,1607972400,19236.76,19165,19236.75,19175.88,25786096.45
USDT_BTC,1607976000,19216.57,19130.85,19175.88,19208.07,26580893.94
USDT_BTC,1607979600,19220.85,19150.85,19208.08,19197.83,26079866.29
USDT_BTC,1607983200,19296,19188.76,19197.82,19291.9,25349746.4
USDT_BTC,1607986800,19349,19200.85,19291.99,19273.14,55614202.93
USDT_BTC,1607990400,19395,19243.64,19273.69,19394.94,57955812.5
USDT_BTC,1607994000,19470,19320.85,19394.94,19455.06,57047581.23
USDT_BTC,1607997600,19570,19444.25,19455.06,19458.97,98656537.38
USDT_BTC,1608001200,19509.57,19416.35,19458.98,19479.7,37665313.62
USDT_BTC,1608004800,19497.36,19161.03,19479.69,19180.71,61473987.93
USDT_BTC,1608008400,19259.78,19050,19180.7,19132.4,76251092.67
USDT_BTC,1608012000,19211.76,19101,19133.29,19186.12,43244582.04
USDT_BTC,1608015600,19226.95,19146.95,19186.12,19197.6,33199007.21
USDT_BTC,1608019200,19219.96,19106.95,19197.59,19137.24,35542869.26
USDT_BTC,1608022800,19209.99,19074,19136.96,19187.51,47850670.01
USDT_BTC,1608026400,19350,19117.9,19187.51,19310,69249283.58
USDT_BTC,1608030000,19334.9,19241.07,19309.99,19293.54,35435762.76
USDT_BTC,1608033600,19383.98,19256.33,19293.54,19291.4,42063871.16
USDT_BTC,1608037200,19349,19263.5,19291.4,19349,29090445.92
USDT_BTC,1608040800,19433,19256.27,19349.16,19337.46,64257051.47
USDT_BTC,1608044400,19429.27,19337.46,19337.46,19403.31,53762615.77
USDT_BTC,1608048000,19425.87,19328.06,19403.31,19364.1,45467441.87
USDT_BTC,1608051600,19422.92,19352.48,19364.09,19399.53,35907617.38
USDT_BTC,1608055200,19543,19390,19399.53,19530,69405393.33
USDT_BTC,1608058800,19545,19465,19529.99,19530.38,48206007.97
USDT_BTC,1608062400,19547,19461.55,19530.38,19491.87,31114529.27
USDT_BTC,1608066000,19511.99,19276,19491.87,19419.92,73200283.82
USDT_BTC,1608069600,19489.09,19379.19,19419.93,19461.38,22884617.06
USDT_BTC,1608073200,19471.18,19345.51,19461.37,19426.43,27429152.7
USDT_BTC,1608076800,19454.97,19278.6,19426.43,19365.29,45764099.31
USDT_BTC,1608080400,19420,19317.01,19365.28,19389.37,34702572.31
USDT_BTC,1608084000,19488.02,19389.37,19389.37,19442.08,37321668.92
USDT_BTC,1608087600,19454,19325,19442.08,19346.52,38948590.86
USDT_BTC,1608091200,19403.07,19300.3,19346.51,19358.68,27440437.88
USDT_BTC,1608094800,19421.8,19339.35,19358.31,19373.81,28012940.03
USDT_BTC,1608098400,19454.93,19341.4,19373.82,19429.89,29362597.46
USDT_BTC,1608102000,19451.03,19399,19429.9,19423.96,25058301.99
USDT_BTC,1608105600,19487.17,19370.62,19423.95,19482.57,36034244.62
USDT_BTC,1608109200,19525,19420.84,19482.57,19516.69,41260965.59
USDT_BTC,1608112800,19800,19498.01,19516.22,19798.17,161452813.2
USDT_BTC,1608116400,19860,19645.9,19798.18,19739.78,116221600.1
USDT_BTC,1608120000,19889.99,19680,19739.78,19762.81,120311034.1
USDT_BTC,1608123600,20450,19762.8,19762.8,20319.51,231551452.5
USDT_BTC,1608127200,20799,20206.16,20320.85,20649,303872798.8
USDT_BTC,1608130800,20733,20539,20650.01,20661.37,147982438.4
USDT_BTC,1608134400,20865.43,20620,20661.37,20854.56,153319227.9
USDT_BTC,1608138000,20855,20573.82,20854.56,20639.82,108518480.9
USDT_BTC,1608141600,20737.44,20550,20639.82,20585.79,72038763.03
USDT_BTC,1608145200,20766.39,20550,20585.79,20736.87,55675610.69
USDT_BTC,1608148800,20839,20727.3,20736.87,20802.82,66736369.67
USDT_BTC,1608152400,21288,20711,20802.82,21192.78,161288020.3
USDT_BTC,1608156000,21444.44,21172.79,21191.53,21366.42,133749577.3
USDT_BTC,1608159600,21560,21200,21366.02,21335.52,148511352.7
USDT_BTC,1608163200,21400,21230,21335.52,21389.25,94429993.63
USDT_BTC,1608166800,21860.05,21389.26,21389.26,21719.22,148684321.4
USDT_BTC,1608170400,21994,21642.13,21719.77,21913.9,128094207.2
USDT_BTC,1608174000,22166,21703.67,21913.91,21753.26,161557499
USDT_BTC,1608177600,21900,21735.09,21752.65,21785.88,75898436.69
USDT_BTC,1608181200,22311.38,21781.99,21785.87,22280,117413508.7
